mac,location,start,end,duration,samples
8C:AA:B5:1B:4D:11,a-01--gallery,5/27/21 10:00,5/28/21 10:00,24.00,809
48:3F:DA:48:72:13,a-01--reception,5/27/21 10:00,5/28/21 10:00,24.00,925
8C:AA:B5:1B:95:F1,a-01--auditorium,5/27/21 10:00,5/28/21 10:00,24.00,822
8C:AA:B5:1B:18:68,a-01--meeting room 1,5/27/21 10:00,5/28/21 10:00,24.00,769
10:52:1C:02:88:A6,a-01--meeting room 2,5/27/21 10:00,5/28/21 10:00,24.00,789
48:3F:DA:48:AA:BD,a-02--CIP room,5/27/21 10:00,5/28/21 10:00,24.00,566
8C:AA:B5:1B:94:D6,a-03--CTO office,5/27/21 10:00,5/28/21 10:00,24.00,688
10:52:1C:02:8A:36,a-03--board room,5/27/21 10:00,5/28/21 10:00,24.00,640
8C:AA:B5:1B:7D:77,a-03--Video conference room,5/27/21 10:00,5/28/21 10:00,24.00,332
48:3F:DA:6B:DB:BD,a-03--Chief Scientist office,5/27/21 10:00,5/28/21 10:00,24.00,362
8C:AA:B5:1B:95:B9,a-03--TMC office,5/27/21 10:00,5/28/21 10:00,24.00,640
10:52:1C:02:89:81,a-03--CEO PRSB office,5/27/21 10:00,5/28/21 10:00,24.00,797
48:3F:DA:48:31:57,a-03--Strategy Office,5/27/21 10:00,5/28/21 10:00,24.00,850
10:52:1C:02:8A:B9,a-03--TMC office,5/27/21 10:00,5/28/21 10:00,24.00,679
8C:AA:B5:1B:50:03,a-03--Hydrogen office,5/27/21 10:00,5/28/21 10:00,24.00,791
10:52:1C:02:CA:61,b-02-05,1/21/21 15:40,1/22/21 17:40,26.00,656
48:3F:DA:48:96:6A,b-02-06/07/08,1/21/21 15:40,1/22/21 17:40,26.00,726
10:52:1C:02:D4:E4,b-02-11,1/21/21 15:40,1/22/21 17:40,26.00,675
8C:AA:B5:1B:4B:BC,b-02-14,1/21/21 15:40,1/22/21 17:40,26.00,729
8C:AA:B5:1B:44:E6,b-02-15/16,1/21/21 15:40,1/22/21 17:40,26.00,721
8C:AA:B5:1B:7B:D5,b-02-35/36,1/21/21 15:40,1/22/21 17:40,26.00,407
10:52:1C:02:89:63,b-03-07,1/21/21 15:40,1/22/21 17:40,26.00,723
48:3F:DA:48:7C:E0,b-03-08,1/21/21 15:40,1/22/21 17:40,26.00,712
8C:AA:B5:1B:71:B3,b-03-09,1/21/21 15:40,1/22/21 17:40,26.00,729
8C:AA:B5:1B:3E:6A,b-03-10,1/21/21 15:40,1/22/21 17:40,26.00,717
8C:AA:B5:1B:71:2C,b-03-14,1/21/21 15:40,1/22/21 17:40,26.00,714
10:52:1C:02:8E:D1,b-03-20,1/21/21 15:40,1/22/21 17:40,26.00,710
10:52:1C:02:C9:27,b-03-21,1/21/21 15:40,1/22/21 17:40,26.00,724
8C:AA:B5:1B:8E:87,b-03-25,1/21/21 15:40,1/22/21 17:40,26.00,731
8C:AA:B5:1B:73:28,b-03-28,1/21/21 15:40,1/22/21 17:40,26.00,728
8C:AA:B5:1B:94:F9,b-03-34,1/21/21 15:40,1/22/21 17:40,26.00,600
8C:AA:B5:1B:91:E5,b-03-38,1/21/21 15:40,1/22/21 17:40,26.00,735
8C:AA:B5:1B:7E:3C,b-03-42,1/21/21 15:40,1/22/21 17:40,26.00,748
